Customer ID,Product ID,Order ID,Customer Age,Gender,Product Name,MRP,Discount Price,Category,State,City,Subscription,Bill Number,Time Spent on Website,Rating,Marketing/Advertisement,Ship Mode,Order Status,Order Date,Delivery Date,Cancellation Date,Payment Method,Pin Code,Total Order Value,Payment Status,No of Clicks,Year,Month,Shipping Charges
YSB75,BW653,479577309,28,Female,Ariel Matic Top Load Liquid Detergent,977.44,909.02,Imported,Andhra Pradesh,Rajahmundry,Premium,1.24E+11,4.18,1,Instagram,Free,Shipped,5/5/2022,13-05-2022,,Credit,318324,909.02,Paid,29,2022,May,0
FUS93,XV061,634865221,47,Male,VSR Channa Dal,834.09,450.41,Branded,Telangana,Nalgonda,Freepass,2.14E+11,7.51,2.6,Facebook,Free,Shipped,13-08-2021,20-08-2021,,Debit,730162,450.41,Paid,95,2021,August,0
AJP28,GF695,113166210,63,Female,Tenali Double Horse Chana Dal,1095.2,1007.58,Branded,Gujarat,Junagadh,Freepass,2.13E+11,1.79,1.1,Instagram,Free,Delivered,17-10-2021,26-10-2021,,Debit,694091,1007.58,Paid,51,2021,October,0
URC55,VM478,740539230,41,Male,Tata Tea,748.16,389.04,Imported,Maharashtra,Nagpur,Freepass,5.44E+11,1.15,4.8,Other,Priority,Delivered,25-08-2021,27-08-2021,,Credit,211807,489.04,Pending,12,2021,August,100
ZOP23,XD230,156544145,22,Female,VSR Channa Dal,1249.04,911.8,Local,Gujarat,Vadodara,Freepass,9.48E+11,1.31,1.4,Other,Priority,Shipped,8/12/2023,10/12/2023,,Credit,78304,1011.8,Paid,26,2023,December,100
YMG11,YB470,705318097,27,Male,Tata Tea,1661.72,847.48,Local,Gujarat,Bhavnagar,Freepass,8.78E+11,9.76,1.9,Instagram,Express plus,Delivered,29-06-2022,3/7/2022,,Credit,698113,997.48,Paid,91,2022,June,150
APD45,KC056,540843325,42,Male,Sofit Soya Drink Vanilla,525.42,383.56,Branded,Maharashtra,Nashik,Premium,5.62E+11,1.89,1.4,Instagram,Free,Shipped,28-08-2022,6/9/2022,,Debit,301402,383.56,Paid,59,2022,August,0
NUR05,TN256,164814971,66,Female,Tata Sampann Chana Dal,412.5,218.62,Local,Gujarat,Vadodara,Premium,55142571323,4.61,3.4,Friends,Free,Shipped,20-03-2022,27-03-2022,,UPI,348957,218.62,Paid,100,2022,March,0
RXD22,TK285,746028724,50,Female,Sofit Soya Drink Vanilla,38.02,31.94,Imported,Telangana,Ramagundam,Premium,2.68E+11,6.42,4,Facebook,Free,Shipped,8/1/2023,17-01-2023,,Debit,118029,31.94,Paid,42,2023,January,0
RSW23,EP927,687371859,58,Female,Nutri Delite Breakfast Cereal,1422.8,1138.24,Local,Maharashtra,Aurangabad,Freepass,9.62E+11,13.76,3.4,Instagram,Priority,Delivered,7/11/2022,9/11/2022,,Netbanking,925908,1238.24,Paid,68,2022,November,100
BTO55,SA811,146392132,32,Male,Tata Sampann Moong Dal (Pesara Pappu),1974.77,1797.04,Local,Telangana,Adilabad,Freepass,9.59E+11,3.4,4.2,Instagram,Free,Shipped,27-03-2021,5/4/2021,,UPI,735096,1797.04,Paid,30,2021,March,0
EBX76,CK701,802397574,22,Female,VSR Channa Dal,628.34,534.09,Branded,Telangana,Warangal,Freepass,8.00E+11,12.76,2.2,Instagram,Free,Cancelled,3/1/2021,11/1/2021,21-01-2021,Cancelled,142985,Cancelled,Cancelled,82,2021,January,Cancelled
RMX58,PM007,14638526,70,Male,Ariel Matic Top Load Liquid Detergent,1098.82,977.95,Branded,Gujarat,Gandhinagar,Freepass,7.77E+11,15.55,2.6,Other,Free,Shipped,30-04-2023,7/5/2023,,Credit,826470,977.95,Paid,31,2023,April,0
RQB15,OB086,854439782,57,Male,Ariel Matic Front Load Liquid Detergent,1583.11,1155.67,Local,Gujarat,Ahmedabad,Freepass,5.27E+11,3.69,4.7,Instagram,Express plus,Shipped,7/9/2023,12/9/2023,,UPI,178544,1305.67,Paid,61,2023,September,150
FXH87,KC821,591865073,60,Female,Amul Taaza Toned Milk,662.86,570.06,Imported,Gujarat,Jamnagar,Premium Plus,4.29E+11,21.12,3.8,Friends,Free,Shipped,7/10/2023,17-10-2023,,Credit,805134,570.06,Paid,58,2023,October,0
LGO87,BL499,688793967,51,Male,Kellogg's Corn Flakes,1858.26,1691.02,Branded,Gujarat,Gandhinagar,Premium,65427783311,23.12,1.6,TV,Free,Shipped,25-07-2022,1/8/2022,,Credit,428809,1691.02,Paid,95,2022,July,0
MDV14,SN210,599141066,37,Male,Usha Heavy Weight Iron - El3710: 1000 W,1945.77,1537.16,Imported,Gujarat,Rajkot,Premium Plus,9.67E+11,22.89,2.8,Instagram,Free,Delivered,29-09-2023,9/10/2023,,Debit,241243,1537.16,Paid,82,2023,September,0
CJI07,NW220,536455358,31,Male,Tata Tea Chakra Gold Premium Tea,1573.51,1164.4,Branded,Telangana,Mahbubnagar,Freepass,9.30E+11,12.43,4.9,Instagram,Express plus,Delivered,21-07-2023,26-07-2023,,Netbanking,658846,1314.4,Paid,10,2023,July,150
KJL56,SP799,222670075,37,Female,Usha Heavy Weight Iron - El3710: 1000 W,255.66,173.85,Imported,Telangana,Adilabad,Freepass,7.27E+11,42.48,4.5,Friends,Free,Delivered,10/5/2023,18-05-2023,,Debit,975641,173.85,Pending,25,2023,May,0
IDC47,LQ240,807926310,42,Female,Parle Nutricrunch Digestive Cookies,1840.45,1085.87,Imported,Maharashtra,Navi Mumbai,Freepass,2.93E+11,28.8,1.3,Instagram,Free,Delivered,18-08-2021,28-08-2021,,UPI,113687,1085.87,Paid,86,2021,August,0
TXT34,XO802,401709105,51,Male,Ariel Matic Top Load Liquid Detergent,983.11,717.67,Imported,Andhra Pradesh,Kurnool,Premium Plus,5.28E+11,1.55,1.2,Instagram,Free,Delivered,6/10/2022,13-10-2022,,UPI,678901,717.67,Pending,9,2022,October,0
TBP56,JA540,404890694,25,Male,Parle Nutricrunch Digestive Cookies,872.33,479.78,Branded,Gujarat,Vadodara,Premium Plus,9.10E+11,2.14,3.3,Friends,Priority,Shipped,29-06-2022,2/7/2022,,Debit,137602,504.78,Paid,94,2022,June,25
HNK32,TL255,750930633,66,Female,Tenali Double Horse Chana Dal,1713.76,1610.93,Local,Gujarat,Junagadh,Premium Plus,2.34E+11,12.02,2.9,Other,Free,Shipped,14-03-2021,24-03-2021,,COD,890001,1610.93,Pending,26,2021,March,0
FGB94,TR196,431349719,41,Female,Tata Tea,632.94,348.12,Branded,Maharashtra,Nashik,Freepass,8.09E+11,4.07,4,Other,Priority,Delivered,27-09-2023,29-09-2023,,Credit,173847,448.12,Paid,63,2023,September,100
PHB13,RK268,185464676,50,Male,Premia Tur Dal Latur (Kandi Pappu),511.02,281.06,Local,Andhra Pradesh,Anantapur,Premium Plus,2.37E+11,25.49,3,Other,Priority,Returned,18-02-2022,20-02-2022,,COD,825586,Returned,Returned,1,2022,February,25
OTK45,UY146,112368561,56,Female,Tata Tea,1840.75,1325.34,Local,Andhra Pradesh,Kurnool,Freepass,7.69E+11,11.73,3,Instagram,Priority,Delivered,7/10/2023,10/10/2023,,Debit,282217,1425.34,Pending,24,2023,October,100
RXF01,SN619,275033713,18,Female,Parle Nutricrunch Digestive Cookies,1529.96,1300.47,Branded,Maharashtra,Pune,Premium,2.37E+11,3.05,2.8,Other,Free,Delivered,21-07-2021,28-07-2021,,Credit,358515,1300.47,Paid,96,2021,July,0
MVH31,HL558,71745481,50,Male,Ariel Matic Front Load Liquid Detergent,1917.21,1342.05,Imported,Andhra Pradesh,Tirupati,Freepass,3.55E+11,1.73,4.8,Other,Free,Shipped,24-10-2023,1/11/2023,,Debit,456340,1342.05,Pending,55,2023,October,0
KQA72,DS490,707001907,33,Female,Pigeon Induction Cooktop Acer Plus: 1800 W,615.99,314.15,Imported,Telangana,Adilabad,Premium,2.28E+11,55.23,3.8,Instagram,Express plus,Delivered,11/6/2022,16-06-2022,,UPI,869208,389.15,Paid,68,2022,June,75
RJD76,QW165,67653253,63,Female,Pigeon Induction Cooktop Acer Plus: 1800 W,190.15,171.14,Branded,Gujarat,Jamnagar,Premium,8.33E+11,2.05,4.6,Instagram,Free,Shipped,12/2/2021,19-02-2021,,Credit,673418,171.14,Paid,35,2021,February,0
SGZ25,LT130,554129867,31,Female,Tata Sampann Chana Dal,530.2,397.65,Branded,Maharashtra,Amravati,Freepass,1.45E+11,2.28,4.3,Instagram,Free,Delivered,9/9/2021,18-09-2021,,UPI,283049,397.65,Pending,45,2021,September,0
NCA40,RF710,154278225,28,Male,Parle Nutricrunch Digestive Cookies,354.08,265.56,Branded,Maharashtra,Pune,Freepass,5.54E+11,10.77,4.5,Instagram,Express plus,Shipped,8/1/2021,12/1/2021,,UPI,240194,415.56,Paid,27,2021,January,150
JJA90,WZ081,623078216,47,Male,VSR Channa Dal,610.88,464.27,Local,Gujarat,Vadodara,Freepass,13338325366,3.52,1.8,TV,Free,Shipped,9/12/2023,18-12-2023,,Netbanking,511862,464.27,Paid,74,2023,December,0
ZJQ35,YA757,689193131,56,Male,Tata Tea Chakra Gold Premium Tea,279.83,162.3,Branded,Gujarat,Bharuch,Premium,27072800329,9.59,1.9,Instagram,Free,Returned,11/6/2021,21-06-2021,,Debit,877211,Returned,Returned,74,2021,June,0
JAJ58,UW814,192508563,51,Female,Usha Heavy Weight Iron - El3710: 1000 W,830.89,548.39,Local,Telangana,Nizamabad,Freepass,9.33E+11,6.36,1.8,Facebook,Priority,Delivered,11/2/2023,13-02-2023,,Debit,146043,648.39,Paid,28,2023,February,100
MAI00,BS295,278700477,33,Female,Harpic Bathroom Cleaner - Floral,1907.99,1354.67,Local,Andhra Pradesh,Nellore,Premium Plus,8.07E+11,21.62,1.5,Facebook,Priority,Shipped,30-04-2021,3/5/2021,,Debit,389040,1379.67,Pending,13,2021,April,25
LWX36,OQ003,619281679,40,Female,Sofit Soya Drink Vanilla,1673.76,1288.8,Branded,Gujarat,Ahmedabad,Premium,4.76E+11,12.21,3.5,Instagram,Free,Returned,16-02-2021,26-02-2021,,UPI,815262,Returned,Returned,72,2021,February,0
WPW05,VJ823,631294462,27,Male,Nimyle Herbal Anti-Bacterial Floor Cleaner,1136.61,1079.78,Imported,Andhra Pradesh,Guntur,Premium,60664143513,1,1.3,Other,Free,Shipped,28-12-2023,5/1/2024,,Credit,770481,1079.78,Paid,85,2023,December,0
QRY80,ZZ113,720740622,51,Female,VSR Channa Dal,1789.9,1378.22,Branded,Gujarat,Bharuch,Freepass,9.25E+11,19.75,4.5,Facebook,Free,Delivered,7/11/2022,15-11-2022,,Debit,891999,1378.22,Pending,74,2022,November,0
PGN88,OU881,459363743,26,Female,Nutri Delite Breakfast Cereal,1311.33,1062.18,Local,Telangana,Hyderabad,Freepass,8.59E+11,25.11,3.2,Instagram,Priority,Cancelled,28-08-2023,30-08-2023,9/9/2023,Cancelled,242842,Cancelled,Cancelled,7,2023,August,Cancelled
LOD54,DV427,384673380,58,Female,Sofit Soya Drink Vanilla,1972.22,1656.66,Branded,Andhra Pradesh,Vijayawada,Freepass,4.40E+11,4.23,1.4,Other,Free,Shipped,23-12-2022,31-12-2022,,Debit,889744,1656.66,Paid,89,2022,December,0
HDR33,BS501,73119580,29,Male,Sunfeast Dark Fantasy Yumfills Cake,1639.83,1279.07,Imported,Telangana,Ramagundam,Freepass,8.07E+11,10.64,3.9,Facebook,Free,Returned,10/10/2022,18-10-2022,,Netbanking,599092,Returned,Returned,2,2022,October,0
XZL93,FQ670,77544706,27,Male,Tata Tea,1107.95,764.49,Local,Gujarat,Rajkot,Freepass,7.96E+11,14.54,2.1,Instagram,Priority,Delivered,6/11/2021,9/11/2021,,UPI,781701,864.49,Paid,50,2021,November,100
EPW41,HB603,650015002,61,Female,Amul Butter Unsalted,1427.71,1213.55,Local,Telangana,Suryapet,Premium,5.56E+11,4.36,3.8,Instagram,Free,Shipped,27-10-2023,6/11/2023,,Credit,960924,1213.55,Paid,82,2023,October,0
EJF50,TM730,680632148,23,Female,Kellogg's Corn Flakes,55.85,48.59,Local,Andhra Pradesh,Rajahmundry,Premium,1.62E+11,17.27,2.5,Friends,Free,Shipped,10/1/2021,17-01-2021,,Credit,731255,48.59,Paid,80,2021,January,0
RLA35,RI539,606102902,45,Female,Tata Tea Chakra Gold Premium Tea,1002.86,661.89,Local,Maharashtra,Solapur,Freepass,1.28E+11,9.55,1.4,Facebook,Express plus,Delivered,18-07-2023,23-07-2023,,Netbanking,932864,811.89,Paid,97,2023,July,150
RXM62,ZQ239,289760890,33,Female,Tata Tea,932.77,541.01,Local,Maharashtra,Navi Mumbai,Freepass,2.55E+11,21.01,4.6,Friends,Free,Delivered,4/8/2022,14-08-2022,,UPI,171844,541.01,Pending,82,2022,August,0
WIC93,CS847,411713484,23,Female,Ariel Matic Front Load Liquid Detergent,1718.45,1237.28,Local,Andhra Pradesh,Nellore,Freepass,8.39E+11,25.85,4.9,Instagram,Free,Delivered,2/7/2023,10/7/2023,,Debit,849153,1237.28,Paid,70,2023,July,0
GFQ71,JK253,461735942,49,Male,Tenali Double Horse Chana Dal,1636.17,1259.85,Branded,Gujarat,Vadodara,Premium,9.51E+11,3.38,3.1,Friends,Free,Shipped,28-02-2022,10/3/2022,,Debit,829389,1259.85,Paid,44,2022,February,0
MTS20,GB533,381828020,43,Male,Amul Butter Unsalted,1008.71,877.58,Local,Telangana,Mahbubnagar,Premium,3.40E+11,26.18,4.3,Other,Free,Delivered,2/11/2023,11/11/2023,,Netbanking,665181,877.58,Paid,14,2023,November,0
ADA82,XT305,224443733,50,Female,Kellogg's Corn Flakes,1397.07,1187.51,Imported,Maharashtra,Aurangabad,Premium,3.59E+11,1.74,3,Other,Express plus,Returned,6/7/2022,11/7/2022,,Credit,232526,Returned,Returned,33,2022,July,75
UKX97,XM590,653237182,65,Male,Amul Taaza Toned Milk,495.58,327.08,Local,Gujarat,Bhavnagar,Freepass,5.30E+11,14.81,2.9,Friends,Free,Shipped,23-12-2023,2/1/2024,,Debit,264647,327.08,Paid,86,2023,December,0
OQR72,BW008,67126796,67,Male,Tata Sampann Moong Dal (Pesara Pappu),403.65,234.12,Imported,Andhra Pradesh,Anantapur,Freepass,1.08E+11,10,2.9,Instagram,Priority,Delivered,17-09-2023,20-09-2023,,UPI,315446,334.12,Pending,35,2023,September,100
ATJ07,ZY308,693987849,26,Male,VSR Channa Dal,433.31,311.98,Local,Maharashtra,Mumbai,Freepass,8.98E+11,2.04,2.5,Facebook,Free,Delivered,13-10-2021,22-10-2021,,Credit,222743,311.98,Paid,78,2021,October,0
NDD95,XD513,302797332,20,Female,Ariel Matic Front Load Liquid Detergent,137.73,77.13,Local,Maharashtra,Nashik,Freepass,2.79E+11,6.61,5,Facebook,Free,Delivered,6/5/2022,13-05-2022,,Credit,888177,77.13,Paid,56,2022,May,0
MOP78,VX453,569577009,66,Male,Amul Butter Unsalted,1312.5,708.75,Branded,Maharashtra,Kolhapur,Freepass,9.33E+11,4.7,3.8,Facebook,Free,Delivered,12/5/2023,19-05-2023,,Debit,467103,708.75,Paid,52,2023,May,0
GTC12,UN036,395261889,43,Female,Ariel Matic Top Load Liquid Detergent,1218.7,950.59,Local,Telangana,Karimnagar,Freepass,3.09E+11,4.6,4.8,Friends,Free,Shipped,23-04-2023,30-04-2023,,Debit,500778,950.59,Paid,38,2023,April,0
PIJ79,YI180,485631864,63,Female,Premia Tur Dal Latur (Kandi Pappu),1476.8,915.62,Local,Gujarat,Anand,Freepass,4.87E+11,16.75,4.7,Other,Express plus,Delivered,7/4/2022,11/4/2022,,Credit,478291,1065.62,Paid,59,2022,April,150
JMQ31,FS684,119832369,28,Female,VSR Channa Dal,904.41,596.91,Local,Telangana,Karimnagar,Freepass,1.29E+11,2.57,2,Facebook,Free,Delivered,12/3/2021,19-03-2021,,Netbanking,216327,596.91,Paid,100,2021,March,0
KFI78,YI065,230922265,61,Male,Premia Tur Dal Latur (Kandi Pappu),1776.43,1581.02,Imported,Gujarat,Jamnagar,Freepass,2.32E+11,7.68,1.6,Facebook,Express plus,Shipped,22-04-2023,27-04-2023,,Credit,240536,1731.02,Pending,55,2023,April,150
EER21,BU765,972010326,28,Female,Parle Nutricrunch Digestive Cookies,886.79,665.09,Branded,Maharashtra,Kolhapur,Premium,4.87E+11,1.79,2,Facebook,Priority,Delivered,29-03-2023,31-03-2023,,Credit,943385,715.09,Paid,66,2023,March,50
TMP94,VC664,375891219,62,Male,Tenali Double Horse Chana Dal,960.18,902.57,Branded,Gujarat,Jamnagar,Premium,1.03E+11,4.13,2.4,Instagram,Priority,Delivered,3/11/2023,5/11/2023,,Debit,122070,952.57,Pending,62,2023,November,50
KTR96,RO495,568219384,43,Female,VSR Channa Dal,1754.44,1105.3,Local,Andhra Pradesh,Vizianagaram,Freepass,3.26E+11,3.73,2.2,Instagram,Priority,Shipped,27-03-2023,30-03-2023,,Debit,658517,1205.3,Paid,37,2023,March,100
UOA47,TI314,496703808,53,Female,Pigeon Induction Cooktop Acer Plus: 1800 W,1128.9,598.32,Local,Andhra Pradesh,Kurnool,Premium,47149333164,1.04,4.1,Facebook,Free,Cancelled,9/1/2023,17-01-2023,28-01-2023,Cancelled,13033,Cancelled,Cancelled,23,2023,January,Cancelled
NVD79,YE907,376355401,41,Male,Cavin's Chocolate Milkshake,811.44,681.61,Local,Gujarat,Anand,Freepass,1.57E+11,4.92,2.6,Facebook,Priority,Shipped,3/2/2023,6/2/2023,,COD,581496,781.61,Pending,30,2023,February,100
RCZ82,TZ257,852376711,19,Male,Usha Heavy Weight Iron - El3710: 1000 W,1688.82,1030.18,Branded,Maharashtra,Navi Mumbai,Freepass,8.64E+11,27.47,1.4,Other,Free,Delivered,1/11/2021,11/11/2021,,UPI,647336,1030.18,Pending,82,2021,November,0
BLJ55,LO627,777835994,55,Male,Wagh Bakri Masala Tea,1114.8,824.95,Imported,Gujarat,Ahmedabad,Freepass,1.58E+11,4.63,2.8,Instagram,Express plus,Delivered,21-01-2023,26-01-2023,,UPI,367456,974.95,Paid,43,2023,January,150
TPH29,HR649,381797980,27,Female,Ariel Matic Top Load Liquid Detergent,1362.89,831.36,Local,Telangana,Hyderabad,Premium,3.51E+11,3.56,1.2,Friends,Priority,Delivered,6/7/2022,8/7/2022,,Credit,960419,881.36,Paid,3,2022,July,50
QNA34,DT381,809657667,57,Female,Harpic Bathroom Cleaner - Floral,1436.96,1106.46,Local,Andhra Pradesh,Guntur,Premium Plus,8.67E+11,1.55,2.6,Facebook,Priority,Delivered,13-08-2022,15-08-2022,,UPI,788360,1131.46,Paid,30,2022,August,25
NOF80,BA727,109084092,58,Male,VSR Channa Dal,26.53,22.29,Local,Maharashtra,Solapur,Freepass,1.69E+11,7.64,1.9,Instagram,Free,Delivered,2/10/2023,10/10/2023,,Debit,973273,22.29,Paid,51,2023,October,0
ONM93,IU396,211365804,68,Male,Wagh Bakri Masala Tea,1724.27,1448.39,Imported,Telangana,Warangal,Premium,4.16E+11,3.95,4.9,Instagram,Free,Shipped,11/11/2022,21-11-2022,,UPI,409186,1448.39,Paid,78,2022,November,0
UQM75,VN622,14709408,19,Male,Parle Nutricrunch Digestive Cookies,631.58,524.21,Branded,Gujarat,Junagadh,Freepass,4.11E+11,3.23,1.7,Facebook,Express plus,Delivered,19-03-2021,24-03-2021,,Debit,401932,674.21,Paid,1,2021,March,150
KMC46,OV997,762726573,43,Female,Amul Taaza Toned Milk,1788.5,1055.22,Branded,Telangana,Suryapet,Premium Plus,4.13E+11,4.29,3.4,Friends,Free,Delivered,2/7/2023,11/7/2023,,Credit,326264,1055.22,Pending,4,2023,July,0
LSV16,ZU154,578341583,52,Male,Nimyle Herbal Anti-Bacterial Floor Cleaner,538.2,296.01,Branded,Gujarat,Gandhinagar,Freepass,5.99E+11,31.88,3.1,Other,Free,Delivered,16-04-2022,26-04-2022,,Credit,692368,296.01,Paid,54,2022,April,0
EQQ34,BD183,377116785,70,Female,Tata Sampann Chana Dal,309.88,204.52,Local,Andhra Pradesh,Nellore,Freepass,1.34E+11,9.58,4,Facebook,Express plus,Cancelled,29-01-2023,2/2/2023,11/2/2023,Cancelled,225011,Cancelled,Cancelled,48,2023,January,Cancelled
HUO77,KJ684,365753448,27,Female,Ariel Matic Top Load Liquid Detergent,920.63,607.62,Branded,Telangana,Adilabad,Premium,6.14E+11,21.03,4.8,Instagram,Free,Delivered,23-11-2022,30-11-2022,,COD,270212,607.62,Pending,47,2022,November,0
JLB76,EK844,591362553,38,Female,Sunfeast Dark Fantasy Yumfills Cake,1449.08,1043.34,Imported,Andhra Pradesh,Rajahmundry,Premium Plus,3.47E+11,4.67,3.7,Instagram,Free,Shipped,30-10-2023,9/11/2023,,UPI,882364,1043.34,Pending,15,2023,October,0
ZZO21,TC378,588442452,57,Female,Premia Tur Dal Latur (Kandi Pappu),647.9,349.87,Branded,Maharashtra,Aurangabad,Freepass,30787905649,7.41,3.2,TV,Priority,Returned,3/3/2022,6/3/2022,,UPI,980979,Returned,Returned,89,2022,March,100
XRC87,SN680,532200761,68,Female,Amul Taaza Toned Milk,829.85,531.1,Imported,Gujarat,Vadodara,Freepass,4.26E+11,13.22,3.2,Friends,Priority,Delivered,16-03-2021,19-03-2021,,Credit,159852,631.1,Paid,76,2021,March,100
MOB76,CC179,438390016,42,Male,Nimyle Herbal Anti-Bacterial Floor Cleaner,1789.31,1485.13,Local,Maharashtra,Solapur,Freepass,5.66E+11,12.66,4.6,TV,Free,Delivered,21-07-2022,30-07-2022,,COD,28127,1485.13,Paid,55,2022,July,0
